"index","工作內容"
35,"工作內容：
1、協助研發設計 (機構或系控單位)
2、ECR/ECO擬定送簽、
3、文件制修訂、
4、各類文件進度追蹤及文書處理  。

課程內涵：
(機構)拆圖與圖面整理、設備成品檢驗、進料檢驗知識。
(系控)傳統迴路+PLC+HMI系統認識與設計修改、設備試車點檢查修、設備電控系統規劃測試"
36,"對電腦資訊服務業有強烈興趣者, 可以彈性配合時間優先
期望配合時間:一年以上
工作時間: 一個禮拜三~五天 ,可以視個人狀況彈性調整
含教育訓練(可輔導相關認證考試)
1. 網路設備(Cisco、Aruba、其他廠牌) 安裝設定
2. 文書作業處理
3. 陪同工程師到客戶端,設備上架,設定
4. 客戶端網路拉線作業
5. 公司備品整理"
37,"聯成數網所研發 Cupoy AI 學習社群( www.cupoy.com )已累積上萬名熱愛機器學習與深度學習的同好在社群裡一同共學，如果你對資料科學 (機器學習、深度學習)或資料工程等領域有興趣、口條清晰且有心往知識型網紅或教學領域發展，歡迎你一同加入 Cupoy AI 教學團隊。 

【工作內容】 
- 將 Cupoy 上的簡報教材重新消化並錄製成影音形式的內容。
- 本工作以線上參與為主，無論你在什麼地方都可以參加 。
- 你可使用正職工作以外的時間參與，時段自由，不影響正職工作 . 

【工作報酬】 
- 工作報酬以影音節目的錄製時長計價(面議)。

【必要條件】
你需熟悉下列任二項以上的知識技能 (★任2項即可)
- 熟悉Python 與Python相關的資料科學、scikit-learn等函式庫；熟悉Anaconda / Google Colab 開發環境。
- 熟悉資料特徵工程、資料預處理技術
- 理解AI演算法並能以程式方式推導講解。
- 其它AI相關新知的蒐集與匯整能力

【加分條件】
- 有實務教學經驗者佳
- 對AI有高度學習熱忱，願意與人協作共學
- 對自身職涯有明確規畫，有高度企圖心 

【為什麼要加入Cupoy AI專家社群】
- 工作時間自由，你可以發揮斜槓力建立個人品牌，累積個人長期被動收入。
- 你可以將你的專業與知識創造價值，轉化為實際的收益。
- 你會跟非常優秀的AI專家一同參與課程規畫與知識分享。
- 你可以和學員一起教學相長，從解決學員的問題中得到成長並創造收益。
- 你可以讓更多人認識你在AI與資料科學/資料工程的相關專業，強化你的個人品牌。

【平台介紹】
■ Cupoy 知識服務電商服務 www.cupoy.com
介紹短片 : https://youtu.be/6h0ieoU1_i0
"
38,"本職缺請透過104應徵

1. 協助專案經理執行電信網路相關例行性作業
2. 協助工程師進行電腦之軟硬體安裝與障礙排除
3. 熟悉電腦硬體組裝，Windows、Office與網頁瀏覽器等用戶端軟體操作
4. 其他需要人力支援的事務(例如整理庫房、設備搬移...等)  

工作時間：一週至少完整三天以上，此為一年期實習計畫
身分需求：僅限在學學生應徵，夜校生佳"
39,"【2021實習生(半年或長期實習)】
【工作職缺】程式設計實習生 (資工系)
【工作地點】遠端工作模式或新竹辦公室皆可
【工作時間】可以討論
【公司福利】畢業後有機會轉任正職，為長期職涯發展做好準備
【工作內容】程式設計/軟體測試
【應徵條件】
1. 歡迎全台各大學三年級以上、研究所同學，資工科系
2. 每週實習時數與天數可討論
3. 實習期間：2021/7起，半年或長期實習。
"
40,"為培養大專院校學生的資安技術能力，提供大三升大四學生參加企業實習的機會，
安華聯網誠徵資安檢測工讀生，可以透過工讀的機會了解資安檢測的工作內容。
主要的工作內容包括但不限於以下：
(1) 蒐集國內外資安漏洞資訊
(2) 在資安工程師的指導下，執行自動化測試工作
(3) 測試資料整理與建檔
(4) 其他主管交辦工作內容

為確保能夠在工讀實習期間能夠學習到相關的工作經驗
希望應徵的朋友們，每週都可以挑出至少3天的時間到公司"
41,"【創科資訊－幫助客戶以技術實現數位競爭力】
主要使用的開發技術，前端包括  React、Vue 與 Bootstrap 、框架，後端則涵蓋 Node.js、.NET Core、PHP Laravel 與 Java / Grails 等，以 React Native 開發 App 與 Electron 開發 Desktop 應用程式，搭配 GitLab、Jenkins 與 Jira 等工具，運用 Docker 與 Kubernetes 協助開發與測試，部署至 AWS、Azure 及阿里云等雲端運算平台，強調 DevOps 提升組織快速交付應用程式和服務的能力。

【2021實習計畫的優點】
目的是幫助已經具備程式基礎的新手，跨越進入職場前的最後一哩路，提升能力、累積經驗，透過模擬真實專案的流程，瞭解真實軟體開發團隊如何運作，這包括團隊協作所需的 Git 版本控制、從 UI / UX 設計到前後端實作整合、CI/CD 自動化的建置與測試、雲端伺服器架設與應用程式部署管理…等。

【實習條件】
資訊相關科系，大三大四生或剛畢業者尤佳
在校生實習，ㄧ週必須能來滿18小時以上，與配合遠端工作
對一種或多種程式語言有基本開發能力， 如PHP, Java, NodeJS, Python 等
擅長寫程式、喜歡學習新技術
需自備筆電 ( Mac 尤佳 )
需通過「軟體開發實戰訓練營」

【Monosparta Camp Trainee】
1.Camp 實習計畫費用：100%完全免費、不收取保證金、訓練期間教材由公司贊助。
2.Camp 實習計畫名額：名額有限，須通過投遞線上履歷（報名填寫個人履歷、聯繫方式、作品集、推薦信等，依報名送件順序優先審查），並通過審核與錄取。
3.Camp 實習計畫訓練期間：共計三個月，每週一至週五10:00-17:00，ㄧ週必須能來滿18小時以上，能配合遠端工作。
"
42," (1) 資料庫、網頁維護。
 (2) 資訊設備操作維護。
 (3) 問題追蹤處理。
 (4) 主管交辦事項。
 
【工作時段】：週一至週五 08：30-17：30，工讀每週2~3天，上班時間可彈性調整。"
43,"【工作內容】
1. 軟體功能測試、軟體自動化測試開發
2. 執行其他交辦事項、協助各類活動等其他事宜

【基本條件】
1. 資工資管資科相關科系學生，管理學院商學院對程式設計有一定程度了解者亦可
2. 對軟體開發、測試有興趣或經驗者
3. 大三或研究生以上有打工經驗者佳
4. 對以下任一有經驗者佳：Web or App開發/測試、自動化爬蟲開發、自動化軟體測試、手動軟體測試、測試項目撰寫

【工作時間】
1. 工作日期：可接受隨時報到，為期至少六個月
2. 排班方式：每週至少16小時，其中一日為全天8小時。
3. 每日工作時間：9:30~18:30 (可彈性調整)
4. 時薪 175元，月薪為NTD 11,200~14,000間。"
44,"工作內容：
1.開發與維護工廠自動化系統															
2.機台 SECS/GEM 規格確認															
3.測試廠流程簽核流程設計															
4.測試機測試資料收集解析															

需求技能：
1.程式語言(Java or .Net C# or VB or Perl or Python)
2.資料庫建立及查詢語言
3.Web site programming

*可實習一學年者優先錄取"
45,"手機遊戲/創新應用App 世界設計, 人物設計, 情節設計, 對白設計撰寫
1. 覺得所有人點子都很酷, 對於實現遊戲有無比的興趣
2. 團隊溝通, 需求管理, 商務要求的滿足
3. 設計遊戲世界觀, 人物, 情節, 考據, 命名, 道具, 生物, 知識, 對白, 文字撰寫調整
4. 設計文件製作, 自認是超級寫手, 文件專家
5. 遊戲製作的執行與檢視, 隨時與美術/程式/測試/管理保持密切合作"
