"index","接受身份","工作經歷","學歷要求","科系要求","語文條件","擅長工具","工作技能"
75,"上班族、學生實習"," 1年以上 "," 大學 "," 不拘 "," 不拘 ","Illustrator、AutoCad 2D、AutoCad 3D、SolidWorks、Adobe XD、IE工業工程","電腦圖示辨認"
76,"日間就讀中、夜間就讀中、中壯齡 、中高齡 、學生實習"," 不拘 "," 大學以上 "," 自然科學學科類、工程學科類、數學及電算機科學學科類 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 "," 不拘 "
77,"應屆畢業生、日間就讀中、夜間就讀中、外籍人士、學生實習"," 不拘 "," 專科以上 "," 工程學科類、數學及電算機科學學科類、自然科學學科類 "," 英文 -- 聽 /中等、說 /中等、讀 /精通、寫 /中等 ","Linux、C++、Java"," 不拘 "
78,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 資訊工程相關、其他數學及電算機科學相關、資訊管理相關 "," 不拘 ","JavaScript"," 不拘 "
79,"學生實習"," 不拘 "," 大學、碩士 "," 資訊工程相關、資訊管理相關 "," 英文 -- 聽 /中等、說 /中等、讀 /精通、寫 /精通 贊助提升英文能力"," 不拘 "," 不拘 "
80,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 資訊工程相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升英文能力","C#、Java、Python"," 不拘 "
81,"上班族、應屆畢業生、日間就讀中、學生實習"," 不拘 "," 大學以上 "," 生物學相關、電機電子工程相關、其他工程相關 "," 英文 -- 聽 /精通、說 /中等、讀 /精通、寫 /中等 ","C","韌體程式設計"
82,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 資訊工程相關、資訊管理相關 "," 不拘 ","Linux、Shell"," 不拘 "
83,"日間就讀中、學生實習"," 不拘 "," 大學以上 "," 電機電子工程相關、資訊工程相關 "," 不拘 ","C、C++"," 不拘 "
84,"應屆畢業生、外籍人士、原住民 、學生實習"," 不拘 "," 專科、大學、碩士 "," 資訊工程相關 "," 不拘 ","JavaScript、jQuery、CSS、Node.js、D3.js","資料庫程式設計"
85,"日間就讀中、學生實習"," 不拘 "," 碩士以上 "," 電機電子工程相關、通信學類 "," 不拘 "," 不拘 "," 不拘 "
86,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科、大學 "," 資訊工程相關、資訊管理相關 "," 不拘 "," 不拘 "," 不拘 "
87,"日間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 資訊工程相關、航太工程相關、測量工程相關 "," 不拘 ","C、Python"," 不拘 "
88,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科以上 "," 商業及管理學科類、數學及電算機科學學科類、工程學科類 "," 不拘 "," 不拘 ","文件收發與檔案管理、文書處理╱排版能力、行政事務處理、文件或資料輸入建檔處理、文件檔案資料處理、轉換及整合工作、管理行事曆與會議協調安排、資訊設備操作檢修、資訊設備環境設定、規劃與管理防火牆、網路安全架構分析與設計"
89,"上班族、應屆畢業生、日間就讀中、學生實習"," 不拘 "," 專科以上 "," 數學及電算機科學學科類 "," 不拘 ","C、C++、Matlab、Python"," 不拘 "
90,"上班族、應屆畢業生、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 高中、專科 "," 資訊工程相關、其他數學及電算機科學相關、資訊管理相關 "," 不拘 ","Linux、Python、AWS","伺服器網站管理維護、作業系統基本操作、資料備份與復原、電腦設備裝配、資訊設備操作檢修、資訊設備環境設定、系統維護操作、軟體品質與保證、功能測試(function test)、使用者測試(Usability test)、壓力測試(stress test)、測試計劃及測試報告書撰寫、軟體程式設計、資料庫系統管理維護、資料庫軟體應用、網路系統配置、網路配線工具使用、網路設備儀錶使用、網路元件安裝及管理、網路架設佈線"
91,"應屆畢業生、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
92,"上班族、學生實習"," 1年以上 "," 大學 "," 不拘 "," 不拘 ","Python、JavaScript","系統整合分析、軟體工程系統開發、韌體工程開發、軟體程式設計、韌體程式設計、網路程式設計"
93,"應屆畢業生、夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 ","Adobe Photoshop"," 不拘 "
94,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
95,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 不拘 "," 數學及電算機科學學科類、資訊管理相關 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 贊助提升英文能力"," 不拘 "," 不拘 "
96,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 資訊管理相關、資訊工程相關、其他數學及電算機科學相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 ","作業系統基本操作、資訊設備環境設定、軟體程式設計、資料庫系統管理維護"
97,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 "," 不拘 "," 不拘 "
98,"上班族、應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
99,"上班族、學生實習"," 不拘 "," 大學、碩士 "," 不拘 "," 不拘 ","PHP"," 不拘 "
100,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 不拘 "," 不拘 ","HTML、CSS","使用者介面設計、網頁軟體操作"
101,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科、大學 "," 資訊工程相關、資訊管理相關 "," 不拘 "," 不拘 "," 不拘 "
102,"上班族、應屆畢業生、日間就讀中、中壯齡 、中高齡 、學生實習"," 不拘 "," 專科以上 "," 數學及電算機科學學科類、資訊管理相關、統計學相關 "," 不拘 "," 不拘 "," 不拘 "
103,"上班族、應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
104,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、學生實習"," 不拘 "," 專科、大學、碩士 "," 資訊工程相關、資訊管理相關 "," 英文 -- 聽 /略懂、說 /略懂、讀 /中等、寫 /略懂 贊助提升英文能力"," 不拘 "," 不拘 "
105,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 "," 不拘 "
106,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、學生實習"," 不拘 "," 大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
107,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科、大學、碩士 "," 資訊工程相關、資訊管理相關 "," 不拘 "," 不拘 "," 不拘 "
108,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
109,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 資訊工程相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 ","Java、Python","資訊設備環境設定、系統架構規劃、Machine Learning"
110,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
111,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 資訊工程相關 "," 不拘 ","Java、MS SQL","軟體程式設計"
112,"學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
113,"上班族、應屆畢業生、夜間就讀中、學生實習"," 不拘 "," 專科、大學 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升英文能力","Python、Node.js、VueJS"," 不拘 "
114,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學 "," 不拘 "," 不拘 ","Linux、PHP、MS SQL","作業系統基本操作、資訊設備環境設定"
115,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、二度就業、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /精通、寫 /精通 贊助提升英文能力"," 不拘 "," 不拘 "
116,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 電機電子工程相關、資訊工程相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 "," 不拘 "
