"index","接受身份","工作經歷","學歷要求","科系要求","語文條件","擅長工具","工作技能"
55,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 其他外文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 ","Excel、Internet Explorer、PowerPoint、Visio、Word"," 不拘 "
56,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 其他外文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 ","Excel、Internet Explorer、PowerPoint、Visio、Word"," 不拘 "
57,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 其他外文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 ","Excel、Internet Explorer、PowerPoint、Visio、Word"," 不拘 "
58,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 其他外文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 ","Excel、Internet Explorer、PowerPoint、Visio、Word"," 不拘 "
59,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 其他外文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 ","Excel、Internet Explorer、PowerPoint、Visio、Word"," 不拘 "
60,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 其他外文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 ","Excel、Internet Explorer、PowerPoint、Visio、Word"," 不拘 "
61,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 其他外文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 ","Excel、Internet Explorer、PowerPoint、Visio、Word"," 不拘 "
62,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 其他外文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 ","Excel、Internet Explorer、PowerPoint、Visio、Word"," 不拘 "
63,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 其他外文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 ","Excel、Internet Explorer、PowerPoint、Visio、Word"," 不拘 "
64,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 其他外文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 ","Excel、Internet Explorer、PowerPoint、Visio、Word"," 不拘 "
65,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 其他外文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 ","Excel、Internet Explorer、PowerPoint、Visio、Word"," 不拘 "
66,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 其他外文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 ","Excel、Internet Explorer、PowerPoint、Visio、Word"," 不拘 "
67,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 其他外文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 ","Excel、Internet Explorer、PowerPoint、Visio、Word"," 不拘 "
