"index","接受身份","工作經歷","學歷要求","科系要求","語文條件","擅長工具","工作技能"
271,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中、專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
272,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
273,"上班族、應屆畢業生、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
274,"上班族、應屆畢業生、外籍人士、原住民 、二度就業、中壯齡 、學生實習"," 不拘 "," 高中 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
275,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
276,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
277,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、學生實習"," 不拘 "," 高中、專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
278,"日間就讀中、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
279,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
280,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
281,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
