"index","接受身份","工作經歷","學歷要求","科系要求","語文條件","擅長工具","工作技能"
203,"上班族、應屆畢業生、日間就讀中、夜間就讀中、二度就業、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  台語 -- 略懂 贊助提升語文能力"," 不拘 "," 不拘 "
204,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 中文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等  英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  印尼文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升語文能力"," 不拘 "," 不拘 "
205,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
206,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
207,"上班族、應屆畢業生、日間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 不拘 ","Excel、PowerPoint、Word","廣告企劃案╱文案撰寫"
208,"學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 不拘 ","Excel、Outlook、PowerPoint、Word、Adobe Photoshop、Illustrator","提案與簡報技巧、網站企劃能力、網路活動規劃與執行、行銷策略擬定、品牌知名度推廣、社群媒體經營管理、廣告企劃案╱文案撰寫、廣告創意發想與提案"
209,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
210,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 1年以上 "," 大學、碩士 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升英文能力","Excel、Outlook、PowerPoint、Word、Adobe Photoshop"," 不拘 "
211,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
212,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
213,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 日文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升日文能力"," 不拘 "," 不拘 "
214,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
215,"應屆畢業生、夜間就讀中、學生實習"," 不拘 "," 不拘 "," 藝術商業設計、美術工藝相關、美術學相關 "," 不拘 "," 不拘 "," 不拘 "
216,"學生實習"," 不拘 "," 專科以上 "," 不拘 "," 泰文 -- 聽 /略懂、說 /略懂、讀 /中等、寫 /中等  中文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升語文能力","Excel、PowerPoint","網站流量成效追蹤、廣告企劃案╱文案撰寫"
217,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中 "," 藝術商業設計、美術工藝相關、美術學相關 "," 不拘 "," 不拘 "," 不拘 "
218,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 ","Excel、PowerPoint、Word","報表彙整與管理、文件或資料輸入建檔處理、市場調查企劃與執行、市場調查資料分析與報告撰寫"
219,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等  中文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升語文能力"," 不拘 ","報表彙整與管理、文件或資料輸入建檔處理"
220,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升英文能力","Excel、PowerPoint、Word、Adobe Photoshop、Illustrator","繪圖工具與軟體操作"
221,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 2年以上 "," 大學以上 "," 不拘 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂  中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  台語 -- 中等 贊助提升語文能力","DHTML、Dreamweaver、HTML、JavaScript、jQuery、CSS、Flash、Adobe Photoshop、Illustrator","多媒體影像處理、多媒體簡報製作、使用者介面設計、設計表現能力、電腦動畫設計、網頁軟體操作、網頁語法撰寫、數位攝影技巧"
222,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 ","Excel、PowerPoint、Word","報表彙整與管理、文件或資料輸入建檔處理、市場調查資料分析與報告撰寫"
223,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 ","Excel、PowerPoint、Word","品牌行銷管理、異業合作規劃與執行、提案與簡報技巧、網路活動規劃與執行、行銷策略擬定、品牌知名度推廣、廣告預算控管、顧客關係管理、社群媒體經營管理、公關活動規劃與執行、公關議題與危機處理、傳播媒體採購規劃、廣告企劃案╱文案撰寫、廣告創意發想與提案"
224,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 2年以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
225,"上班族、應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 1年以上 "," 專科以上 "," 藝術商業設計、美術學相關、其他藝術相關 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 贊助提升英文能力","Mac OS、PowerPoint、Word、Adobe InDesign、Adobe Photoshop、Illustrator","網站企劃能力、廣告製作規劃與執行、廣告企劃案╱文案撰寫、各式封面設計、視覺設計相關知識、電腦繪圖軟體操作、廣告設計概念"
226,"上班族、應屆畢業生、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
227,"應屆畢業生、日間就讀中、夜間就讀中、研發替代役、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升英文能力","Excel、Outlook、PowerPoint、Word"," 不拘 "
228,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
229,"上班族、應屆畢業生、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
230,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
231,"應屆畢業生、夜間就讀中、學生實習"," 不拘 "," 不拘 "," 藝術商業設計、美術工藝相關、美術學相關 "," 不拘 "," 不拘 "," 不拘 "
232,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
233,"外籍人士、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
234,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 日文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升語文能力"," 不拘 "," 不拘 "
235,"上班族、應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
236,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
237,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
238,"應屆畢業生、日間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 不拘 "," 不拘 ","Excel、PowerPoint"," 不拘 "
239,"學生實習歡迎肢體障礙(下肢)、顏面損傷的身心障礙人士 "," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
240,"學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升英文能力"," 不拘 "," 不拘 "
241,"上班族、應屆畢業生、日間就讀中、夜間就讀中、二度就業、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 不拘 ","Excel"," 不拘 "
242,"上班族、應屆畢業生、夜間就讀中、學生實習"," 不拘 "," 專科、大學 "," 藝術學科類、自然科學學科類、商業及管理學科類 "," 英文 -- 聽 /中等、說 /略懂、讀 /精通、寫 /中等 贊助提升英文能力"," 不拘 "," 不拘 "
243,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
244,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升英文能力","Excel、Outlook、PowerPoint、Word"," 不拘 "
