"index","接受身份","工作經歷","學歷要求","科系要求","語文條件","擅長工具","工作技能"
60,"學生實習"," 不拘 "," 大學、碩士 "," 機械工程相關 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 ","Excel、Outlook、PowerPoint、Word、AutoCAD、SolidWorks"," 不拘 "
61,"日間就讀中、學生實習"," 不拘 "," 大學以上 "," 電機電子工程相關、資訊工程相關 "," 不拘 ","RTL、Verilog"," 不拘 "
62,"應屆畢業生、夜間就讀中、學生實習"," 不拘 "," 專科以上 "," 資訊管理相關、資訊工程相關 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 贊助提升英文能力","Excel、Word","文件收發與檔案管理、文書處理╱排版能力、行政事務處理、文件或資料輸入建檔處理、功能測試(function test)"
63,"學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
64,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 不拘 "," 不拘 "," 不拘 ","提案與簡報技巧、網路活動規劃與執行、品牌知名度推廣、社群媒體經營管理、廣告企劃案╱文案撰寫、廣告創意發想與提案、功能測試(function test)、使用者測試(Usability test)、問題追蹤處理(Bug tracking)、軟體整合測試、壓力測試(stress test)、測試計劃及測試報告書撰寫"
65,"應屆畢業生、夜間就讀中、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 英文 -- 聽 /中等、說 /略懂、讀 /中等、寫 /中等 "," 不拘 "," 不拘 "
66,"應屆畢業生、日間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 電機電子工程相關 "," 不拘 "," 不拘 "," 不拘 "
67,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、二度就業、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /精通、寫 /精通 贊助提升英文能力"," 不拘 "," 不拘 "
68,"日間就讀中、學生實習"," 不拘 "," 碩士以上 "," 電機電子工程相關、通信學類、資訊工程相關 "," 不拘 "," 不拘 "," 不拘 "
69,"日間就讀中、學生實習"," 不拘 "," 大學以上 "," 資訊工程相關、電機電子工程相關、通信學類 "," 不拘 "," 不拘 "," 不拘 "
70,"應屆畢業生、日間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 機械工程相關 "," 不拘 "," 不拘 "," 不拘 "
71,"學生實習"," 不拘 "," 大學、碩士 "," 化學工程相關、材料工程相關、企業管理相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 ","Excel、Outlook、PowerPoint、Word"," 不拘 "
72,"日間就讀中、學生實習"," 不拘 "," 大學以上 "," 電機電子工程相關、通信學類、資訊工程相關 "," 不拘 "," 不拘 "," 不拘 "
73,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學 "," 機械工程相關、土木工程相關 "," 英文 -- 聽 /中等、說 /中等、讀 /精通、寫 /精通 "," 不拘 "," 不拘 "
